jd,a,e,i,aop,raan,TA,raan_dot_moon,raan_dot_sun,raan_dot_3b,raan_dot_j2,raan_dot_total,aop_dot_moon,aop_dot_sun,aop_dot_3b,aop_dot_j2,aop_dot_total,La,Le,Li,Laop,Lraan,LTA
2457398.731339,7149.9075610671,0.0158946527756705,98.5909960523517,135.965191651636,106.806918660177,83.51929771931,106.78179725806,106.781796730222,106.781797699838,106.809508179841,106.809509591235,142.406939203838,142.406940772208,142.406937891182,142.324601617958,142.324597424275,7151.25482761792,0.0159693426115411,98.6269211303819,136.597299179001,106.884200045256,82.8891987051026
2457398.73137176,7149.8544914609,0.015894495046768,98.5910279520223,135.938328438853,106.806945101281,83.7161572004318,106.781797259211,106.781796730746,106.781797701513,106.809541052784,106.809542465853,142.406939200421,142.40694077065,142.406937886207,142.324503942434,142.324499743776,7151.25482761792,0.0159693426115411,98.6269211303819,136.597299179001,106.884200045256,83.0592053472082
2457398.73140451,7149.80137932719,0.0158943945752365,98.5910598844131,135.911423489228,106.806971734495,83.9130419044385,106.781797260361,106.78179673127,106.781797703187,106.809573925728,106.809575340471,142.406939197003,142.406940769093,142.406937881232,142.32440626691,142.324402063278,7151.25482761792,0.015969342611541,98.6269211303819,136.597299179001,106.884200045256,83.229196028561
2457398.73143727,7149.74822657023,0.0158943514974433,98.5910918483893,135.884478932618,106.806998559975,84.1099496973304,106.781797261511,106.781796731794,106.781797704861,106.809606798671,106.809608215089,142.406939193586,142.406940767536,142.406937876257,142.324308591386,142.324304382779,7151.25482761792,0.0159693426115412,98.6269211303819,136.597299179001,106.884200045256,83.3991707457158
2457398.73147002,7149.69503509419,0.0158943659442438,98.5911238428152,135.857496904141,106.80702557787,84.3068784399988,106.781797262661,106.781796732318,106.781797706535,106.809639671615,106.809641089707,142.406939190168,142.406940765979,142.406937871283,142.324210915861,142.32420670228,7151.25482761792,0.0159693426115411,98.6269211303819,136.597299179002,106.884200045256,83.5691294953683
2457398.73150278,7149.64180680305,0.0158944380409691,98.5911558665548,135.830479543929,106.807052788323,84.5038259884766,106.781797263811,106.781796732842,106.78179770821,106.809672544559,106.809673964324,142.40693918675,142.406940764422,142.406937866308,142.324113240337,142.324109021781,7151.25482761792,0.0159693426115412,98.6269211303819,136.597299179001,106.884200045256,83.7390722743611
2457398.73153553,7149.58854360054,0.0158945679074122,98.5911879184715,135.803428996849,106.80708019147,84.7007901942119,106.781797264962,106.781796733366,106.781797709884,106.809705417502,106.809706838942,142.406939183333,142.406940762865,142.406937861333,142.324015564813,142.324011341282,7151.25482761792,0.0159693426115411,98.6269211303819,136.597299179002,106.884200045256,83.9089990796756
2457398.73156829,7149.53524739009,0.0158947556578157,98.5912199974284,135.776347412244,106.80710778744,84.8977689043315,106.781797266112,106.78179673389,106.781797711558,106.809738290446,106.80973971356,142.406939179915,142.406940761308,142.406937856359,142.323917889289,142.323913660783,7151.25482761792,0.015969342611541,98.6269211303819,136.597299179002,106.884200045256,84.0789099084386
2457398.73160104,7149.48192007474,0.0158950014008617,98.5912521022882,135.749236943673,106.807135576353,85.0947599618998,106.781797267262,106.781796734414,106.781797713232,106.809771163389,106.809772588178,142.406939176498,142.406940759751,142.406937851384,142.323820213765,142.323815980284,7151.25482761793,0.015969342611541,98.6269211303819,136.597299179003,106.884200045256,84.2488047579173
2457398.7316338,7149.42856355708,0.0158953052396601,98.591284231913,135.722099748629,106.807163558325,85.2917612061989,106.781797268412,106.781796734938,106.781797714907,106.809804036333,106.809805462795,142.40693917308,142.406940758193,142.406937846409,142.32372253824,142.323718299785,7151.25482761792,0.0159693426115409,98.6269211303819,136.597299179002,106.884200045256,84.418683625526
